Specie,File,Validation,Alternative
Fireworks,2MA00783-INM_20240515_202500_3427000_3430000_0.8246.WAV,-1,
Fireworks,2MA00783-INM_20240510_202100_498000_501000_0.7732.WAV,-1,
Fireworks,2MA00783-INM_20240508_211902_2314000_2317000_0.7936.WAV,-1,
Fireworks,2MA00783-INM_20240625_060802_3180000_3183000_0.7644.WAV,-1,
Sternula albifrons,2MA00783-INM_20240506_062602_109000_112000_0.788.WAV,-1,
Sternula albifrons,2MA00783-INM_20240516_202600_3429000_3432000_0.8726.WAV,-1,
Sternula albifrons,2MA00783-INM_20240516_071702_2430000_2433000_0.8092.WAV,-1,
Pluvialis apricaria,2MA00783-INM_20240516_212602_16000_19000_0.8358.WAV,-1,
Pluvialis apricaria,2MA00783-INM_20240625_214702_1682000_1685000_0.8248.WAV,-1,
Anas acuta,2MA00783-INM_20240517_212702_2982000_2985000_0.8306.WAV,-1,
Streptopelia turtur,2MA00783-INM_20240513_071902_3186000_3189000_0.9043.WAV,-1,
Streptopelia turtur,2MA00783-INM_20240507_072502_1953000_1956000_0.8674.WAV,-1,
Streptopelia turtur,2MA00783-INM_20240626_070802_871000_874000_0.9522.WAV,-1,
Motacilla flava,2MA00783-INM_20240516_212602_1168000_1171000_0.755.WAV,-1,
Corvus corone,2MA00783-INM_20240621_234602_542000_546000_0.7631.WAV,-1,
Corvus corone,2MA00783-INM_20240507_201800_3259000_3262000_0.9204.WAV,-1,
Corvus corone,2MA00783-INM_20240621_234602_3442000_3447000_0.8498.WAV,-1,
Corvus corone,2MA00783-INM_20240618_060602_1225000_1228000_0.8421.WAV,-1,
Corvus corone,2MA00783-INM_20240621_234602_2279000_2282000_0.8246.WAV,-1,
Corvus corone,2MA00783-INM_20240620_234602_2159000_2162000_0.8346.WAV,-1,
Corvus corone,2MA00783-INM_20240615_224502_251000_254000_0.7834.WAV,-1,
Corvus corone,2MA00783-INM_20240612_204400_2100000_2103000_0.7587.WAV,-1,
Corvus corone,2MA00783-INM_20240621_224602_2990000_2993000_0.7752.WAV,-1,
Corvus corone,2MA00783-INM_20240612_204400_1492000_1495000_0.8573.WAV,-1,
Corvus corone,2MA00783-INM_20240515_222502_502000_505000_0.8161.WAV,-1,
Corvus corone,2MA00783-INM_20240517_041600_60000_63000_0.8196.WAV,-1,
Corvus corone,2MA00783-INM_20240615_050602_1977000_1980000_0.7551.WAV,-1,
Corvus corone,2MA00783-INM_20240514_212402_2781000_2784000_0.8708.WAV,-1,
Corvus corone,2MA00783-INM_20240622_214702_268000_271000_0.8356.WAV,-1,
Corvus corone,2MA00783-INM_20240615_224502_1097000_1100000_0.8853.WAV,-1,
Corvus corone,2MA00783-INM_20240507_211802_383000_386000_0.9067.WAV,-1,
Corvus corone,2MA00783-INM_20240512_232302_771000_774000_0.8185.WAV,-1,
Corvus corone,2MA00783-INM_20240619_204600_2346000_2349000_0.8918.WAV,-1,
Corvus corone,2MA00783-INM_20240623_224702_1956000_1959000_0.824.WAV,-1,
Corvus corone,2MA00783-INM_20240511_222202_2729000_2732000_0.9094.WAV,-1,
Corvus corone,2MA00783-INM_20240616_234502_1459000_1463000_0.85495.WAV,-1,
Corvus corone,2MA00783-INM_20240615_234502_3547000_3551000_0.82075.WAV,-1,
Corvus corone,2MA00783-INM_20240621_234602_406000_411000_0.7562333333333333.WAV,-1,
Corvus corone,2MA00783-INM_20240512_042000_2252000_2255000_0.7961.WAV,-1,
Corvus corone,2MA00783-INM_20240506_211702_2392000_2395000_0.7609.WAV,-1,
Corvus corone,2MA00783-INM_20240507_211802_649000_652000_0.8468.WAV,-1,
Corvus corone,2MA00783-INM_20240511_222202_616000_619000_0.835.WAV,-1,
Corvus corone,2MA00783-INM_20240619_214602_2932000_2935000_0.8096.WAV,-1,
Corvus corone,2MA00783-INM_20240502_211402_1596000_1600000_0.7988.WAV,-1,
Corvus corone,2MA00783-INM_20240511_232202_259000_262000_0.7668.WAV,-1,
Numenius arquata,2MA00783-INM_20240413_065400_3018000_3021000_0.7687.WAV,-1,
Numenius arquata,2MA00783-INM_20240415_065100_183000_186000_0.7549.WAV,-1,
Hirundo rustica,2MA00783-INM_20240619_070702_2358000_2364000_0.7774666666666666.WAV,-1,
Turdus iliacus,2MA00783-INM_20240622_204700_3104000_3109000_0.7912.WAV,-1,
Turdus iliacus,2MA00783-INM_20240623_070702_1647000_1650000_0.7555.WAV,-1,
Turdus iliacus,2MA00783-INM_20240615_204500_2745000_2748000_0.9358.WAV,-1,
Turdus iliacus,2MA00783-INM_20240619_070702_941000_945000_0.78625.WAV,-1,
Turdus iliacus,2MA00783-INM_20240620_214602_758000_761000_0.9252.WAV,-1,
Turdus iliacus,2MA00783-INM_20240619_060702_1363000_1366000_0.762.WAV,-1,
Turdus iliacus,2MA00783-INM_20240516_071702_3210000_3213000_0.7743.WAV,-1,
Turdus iliacus,2MA00783-INM_20240612_204400_2258000_2261000_0.7531.WAV,-1,
Turdus iliacus,2MA00783-INM_20240506_072602_2177000_2181000_0.93575.WAV,-1,
Turdus iliacus,2MA00783-INM_20240622_204700_1814000_1817000_0.9035.WAV,-1,
Turdus iliacus,2MA00783-INM_20240619_060702_1245000_1248000_0.7906.WAV,-1,
Turdus iliacus,2MA00783-INM_20240512_222302_784000_787000_0.7788.WAV,-1,
Turdus iliacus,2MA00783-INM_20240613_204400_151000_155000_0.75785.WAV,-1,
Turdus iliacus,2MA00783-INM_20240417_054802_2787000_2790000_0.7959.WAV,-1,
Turdus iliacus,2MA00783-INM_20240502_073002_443000_446000_0.8875.WAV,-1,
